Id,Probability
1,0.00162991012864917
2,0.00109046178916916
3,0.000145745480946766
4,0.00164411162352669
5,0.00399866773850002
6,0.000754711746330381
7,0.000962052693673432
8,0.000328845891976317
9,4.28993205250648e-05
10,6.82269640052417e-06
11,0.000179374718571459
12,0.000106978968822149
13,7.41787399847818e-05
14,0.000936521571013266
15,0.000905567039453626
16,0.000151289785891685
17,0.000403096493454064
18,0.000173191537826973
19,0.0269629221747674
20,0.00237788365233
21,0.000133617474002371
22,2.41420370075974e-05
23,4.93568707816096e-05
24,0.661074693911999
25,0.00472198413637758
26,9.12345317659518e-05
27,0.00502452005746387
28,4.48986387395322e-05
29,0.00184813862067625
30,0.000178101879837723
31,0.00136246397257739
32,6.2162926432043e-05
33,0.000103345185120438
34,0.00120406969887028
35,0.040477998207994
36,0.000721127280335325
37,0.000595026572535231
38,0.00039282613599197
39,0.000263987835838289
40,0.000671533183580321
41,0.0129714910422214
42,0.0173708336092416
43,0.00101130690854969
44,5.86979987878693e-05
45,0.000658900897983002
46,4.44212252644326e-05
47,5.3067644618689e-05
48,0.000114837830487215
49,0.0001891443259481
50,0.000623226274733376
51,0.000102408950786989
52,4.63024830574103e-05
53,0.000147246922427213
54,0.00147332313957789
55,0.000178948387745082
56,0.00628464607335833
57,0.000124239518578328
58,0.00877620943943597
59,0.00387980000437202
60,0.00821223397937741
61,0.000199804760880648
62,1.54293232861008e-05
63,0.000112174242361656
64,5.66256757694335e-05
65,0.000104952143384021
66,7.14085941805118e-05
67,3.00631087448483e-05
68,0.00387730690316385
69,6.86581403389218e-05
70,4.83866812707128e-06
71,0.000138417083934035
72,0.00269789513449948
73,2.74617257473945e-05
74,0.0122590157690346
75,0.000130846753913657
76,0.00055245790336178
77,0.00104457432508335
78,0.000294454086751239
79,7.79541440239639e-05
80,0.00030663067931506
81,0.000147745360938631
82,3.63538015407727e-05
83,0.000135553146319308
84,3.57870099108756e-05
85,0.000112397317587804
86,0.000106822737884568
87,0.00228960644016495
88,0.000127001170934459
89,0.00030918161570371
90,0.000195652897869073
91,0.0021499640362666
92,0.000235156506383983
93,3.94293928817005e-05
94,0.000248592984470928
95,2.17503324791667e-05
96,0.999999999888975
97,0.000172617967123775
98,0.00184759988319856
99,0.000109366451562103
100,0.000170078455906532
101,0.00138200358703148
102,0.0019919323790198
103,4.40684612323664e-05
104,0.00180344420235047
105,0.000977844789611589
106,0.000344233298369938
107,0.216455589784701
108,7.82765244705175e-05
109,6.25850093581338e-05
110,0.000140119748283878
111,0.000119383635639392
112,0.000202067233216197
113,0.000215153621037183
114,0.453231723777006
115,0.00194632029601771
116,2.62090033944361e-05
117,4.48859984802668e-05
118,0.00214831361411273
119,0.000110057833857292
120,7.93753810352927e-05
121,0.00011885279542645
122,0.00080694211239931
123,0.000301183406074
124,0.695553518380454
125,8.55203078176777e-05
126,3.26762561530977e-05
127,6.84054332403869e-05
128,9.07495146056209e-05
